rozmiar tablicy;dodanie na start;usuniecie ze startu;dodanie na koncu;usuniecie z konca;dodanie na pozycji;usuniecie z pozycji;szukanie;
100;0.0040686;0.0020343;0.0020343;0.00152572;0.00178001;0.00127144;0.000508575;
100;0.00254287;0.00127144;0.00127144;0.00101715;0.00127144;0.00101715;0.000508575;
100;0.00305145;0.00101715;0.00127144;0.00101715;0.00127144;0.00127144;0.000254287;
100;0.00432288;0.00178001;0.00228859;0.00152572;0.0020343;0.00152572;0.000508575;
100;0.00279716;0.00101715;0.00101715;0.00101715;0.00127144;0.00101715;0.000508575;
100;0.00279716;0.00101715;0.00127144;0.00101715;0.00101715;0.00101715;0.000508575;
100;0.00356002;0.00127144;0.00127144;0.00101715;0.00127144;0.00101715;0.000254287;
100;0.00279716;0.00127144;0.00127144;0.000762862;0.00127144;0.000762862;0.000508575;
100;0.00279716;0.00127144;0.00127144;0.00101715;0.00127144;0.00101715;0.000254287;
100;0.00305145;0.00152572;0.00152572;0.00127144;0.00152572;0.00127144;0.000254287;
1000;0.00432288;0.00152572;0.00178001;0.00152572;0.00178001;0.00152572;0.00228859;
1000;0.00508575;0.00178001;0.00152572;0.00152572;0.00178001;0.00152572;0.00254287;
1000;0.00457717;0.00178001;0.00178001;0.00178001;0.00178001;0.00152572;0.00127144;
1000;0.00483146;0.00178001;0.00178001;0.00152572;0.00178001;0.00152572;0.00127144;
1000;0.00432288;0.00178001;0.00178001;0.00178001;0.00178001;0.00152572;0.00101715;
1000;0.00483146;0.00178001;0.00178001;0.00152572;0.00178001;0.00152572;0.00127144;
1000;0.00356002;0.00178001;0.00178001;0.00152572;0.00178001;0.00152572;0.000508575;
1000;0.0254287;0.00330574;0.00254287;0.0020343;0.00228859;0.0020343;0.000508575;
1000;0.00508575;0.0020343;0.0020343;0.00178001;0.0020343;0.0020343;0.00178001;
1000;0.00508575;0.00178001;0.00178001;0.00152572;0.00152572;0.00152572;0.00254287;
20000;0.0373802;0.0297516;0.0152572;0.015003;0.0137315;0.0127144;0.0511118;
20000;0.0317859;0.0134772;0.0129687;0.0127144;0.0137315;0.0127144;0.00127144;
20000;0.0343288;0.0137315;0.0129687;0.0132229;0.0134772;0.0127144;0.0162744;
20000;0.0300059;0.0137315;0.0129687;0.0127144;0.0132229;0.0127144;0.0162744;
20000;0.0343288;0.015003;0.0157658;0.0152572;0.0144944;0.0137315;0.0518746;
20000;0.0511118;0.0165287;0.0129687;0.0127144;0.0137315;0.0129687;0.0534003;
20000;0.0328031;0.0160201;0.0404317;0.0137315;0.0137315;0.0132229;0.0419574;
20000;0.0289888;0.0132229;0.0129687;0.0124601;0.0134772;0.0127144;0.0419574;
20000;0.0368717;0.0134772;0.0132229;0.0129687;0.0134772;0.0127144;0.0183087;
20000;0.0277173;0.0134772;0.0127144;0.0124601;0.0132229;0.0127144;0.0183087;
100000;0.160964;0.0605204;0.0595032;0.0587404;0.0620461;0.159692;0.184867;
100000;0.211821;0.125618;0.0739976;0.0722176;0.0745062;0.0722176;0.496623;
100000;0.211058;0.0696747;0.0584861;0.0584861;0.0620461;0.0589947;0.230384;
100000;0.15715;0.0666233;0.0653518;0.0584861;0.0615375;0.0589947;0.271833;
100000;0.146724;0.0696747;0.0712005;0.0691662;0.071709;0.0691662;0.0335659;
100000;0.140875;0.059249;0.0582318;0.0582318;0.0694204;0.0714547;0.0356002;
100000;0.138078;0.0597575;0.0584861;0.0582318;0.0612833;0.059249;0.187918;
100000;0.152064;0.0648433;0.0633175;0.0635718;0.0658604;0.0673861;0.195293;
100000;0.378888;0.0671319;0.0678947;0.0757776;0.676913;0.117481;0.0640804;
100000;0.131467;0.0597575;0.0589947;0.0584861;0.0617918;0.0597575;0.064589;
