rozmiar listy;dodanie na start;usuniecie ze startu;dodanie na koncu;usuniecie z konca;dodanie na pozycji;usuniecie z pozycji;szukanie;
100;0.00127144;0.000762862;0.00127144;0.00127144;0.000762862;0.000762862;0.000508575;
100;0.00127144;0.000508575;0.00152572;0.00101715;0.000762862;0.000762862;0.000508575;
100;0.00152572;0.00101715;0.00152572;0.00152572;0.00127144;0.00127144;0.000508575;
100;0.00254287;0.00127144;0.0020343;0.00152572;0.00127144;0.00101715;0.000762862;
100;0.00152572;0.000762862;0.00152572;0.00127144;0.00101715;0.000762862;0.000762862;
100;0.00152572;0.000508575;0.00127144;0.00101715;0.00101715;0.00101715;0.000762862;
100;0.00152572;0.000762862;0.00152572;0.00127144;0.000762862;0.000762862;0.000762862;
100;0.00127144;0.000762862;0.00127144;0.00101715;0.00101715;0.00101715;0.000508575;
100;0.00152572;0.000762862;0.00127144;0.00127144;0.00101715;0.00101715;0.000508575;
100;0.00127144;0.000762862;0.00152572;0.00127144;0.00127144;0.00101715;0.000254287;
1000;0.00152572;0.00101715;0.00839148;0.0081372;0.00279716;0.00254287;0.00152572;
1000;0.00152572;0.000762862;0.00788291;0.00762862;0.00254287;0.00228859;0.00101715;
1000;0.00127144;0.000762862;0.00839148;0.0081372;0.00254287;0.00228859;0.00432288;
1000;0.00178001;0.000762862;0.00737433;0.00737433;0.00254287;0.00228859;0.0040686;
1000;0.00152572;0.00101715;0.00762862;0.00762862;0.00228859;0.00228859;0.00381431;
1000;0.00178001;0.00101715;0.0081372;0.00737433;0.00228859;0.00228859;0.00356002;
1000;0.00152572;0.000762862;0.00737433;0.00762862;0.00254287;0.00254287;0.00534003;
1000;0.00178001;0.00101715;0.00788291;0.00890006;0.00254287;0.00279716;0.00534003;
1000;0.00152572;0.000762862;0.00864577;0.00737433;0.00254287;0.00228859;0.00279716;
1000;0.00152572;0.000762862;0.00737433;0.00712005;0.00228859;0.00254287;0.00152572;
20000;0.00178001;0.000762862;0.146215;0.144435;0.0892549;0.0892549;0.00864577;
20000;0.00152572;0.00101715;0.149012;0.147487;0.0907806;0.0907806;0.172407;
20000;0.00178001;0.00101715;0.152318;0.14825;0.0910349;0.0910349;0.0808634;
20000;0.00152572;0.000762862;0.149012;0.147232;0.0905263;0.0905263;0.0803548;
20000;0.00127144;0.000762862;0.15003;0.150538;0.0915434;0.088492;0.00381431;
20000;0.0020343;0.000762862;0.197327;0.217161;0.093832;0.0910349;0.00381431;
20000;0.00330574;0.000762862;0.151301;0.149267;0.0910349;0.0905263;0.0272087;
20000;0.00152572;0.000762862;0.151555;0.146978;0.092052;0.327522;0.250982;
20000;0.00152572;0.000508575;0.147995;0.14825;0.0928149;0.0907806;0.0755233;
20000;0.00178001;0.00101715;0.148504;0.147232;0.0905263;0.0907806;0.0752691;
100000;0.00228859;0.00101715;4.84621;6.73811;1.96081;0.736416;0.486452;
100000;0.0020343;0.000762862;4.96725;3.68717;0.869408;0.494335;0.211058;
100000;0.0020343;0.000762862;2.99754;4.22117;1.17964;0.427711;0.188427;
100000;0.0020343;0.000762862;4.15378;5.52643;1.51047;1.11352;0.0531461;
100000;0.00178001;0.000762862;2.23671;4.93699;1.77747;0.651738;2.87421;
100000;0.0020343;0.000762862;2.68833;2.75012;0.803294;0.595541;2.5149;
100000;0.0020343;0.000762862;2.69087;3.07866;0.970106;0.611815;0.490266;
100000;0.00228859;0.00101715;5.01658;5.22204;1.57912;0.492555;0.396688;
100000;0.00228859;0.00101715;4.58887;5.23018;1.68109;0.601644;2.89354;
100000;0.0020343;0.000762862;4.4691;4.285;1.11683;0.471957;0.847285;
100;0.00127144;0.000762862;0.00152572;0.00127144;0.00127144;0.00101715;0.000508575;
100;0.00127144;0.000508575;0.00152572;0.00127144;0.000508575;0.000508575;0.000254287;
100;0.00152572;0.00101715;0.0020343;0.00279716;0.00101715;0.000762862;0.00101715;
100;0.00152572;0.00101715;0.00127144;0.00127144;0.00101715;0.000762862;0.000254287;
100;0.00305145;0.00101715;0.00152572;0.00127144;0.000762862;0.000762862;0.000508575;
100;0.00127144;0.000762862;0.00152572;0.00101715;0.00101715;0.000762862;0.000508575;
100;0.00127144;0.000762862;0.00178001;0.00127144;0.000762862;0.000762862;0.000508575;
100;0.00127144;0.000508575;0.00152572;0.00127144;0.000762862;0.000762862;0.000762862;
100;0.00127144;0.000762862;0.00127144;0.00127144;0.000762862;0.00432288;0.00101715;
100;0.00127144;0.000762862;0.00152572;0.00127144;0.000762862;0.000762862;0.000508575;
100;0.00178001;0.00101715;0.00152572;0.00127144;0.000762862;0.000762862;0.000508575;
100;0.00127144;0.000762862;0.00152572;0.00127144;0.00101715;0.000762862;0.000508575;
100;0.00127144;0.000762862;0.00152572;0.00127144;0.000762862;0.000762862;0.000508575;
100;0.00152572;0.00101715;0.00178001;0.00152572;0.00101715;0.000762862;0.000508575;
100;0.00152572;0.000762862;0.00152572;0.00127144;0.00101715;0.000762862;0.000508575;
100;0.00127144;0.000508575;0.00127144;0.00127144;0.00101715;0.000762862;0.000762862;
100;0.00127144;0.00127144;0.00534003;0.00127144;0.00101715;0.000762862;0.000508575;
100;0.00127144;0.000762862;0.00178001;0.00127144;0.00101715;0.000762862;0.000508575;
